,V1,V2,V3,V4,V5
RespondentId,operating years category,operating years grouped,units per year categories,units per year grouped,number of RM strats used
,,,,,
3501347,16-20,16-25+,51-100,51-100,18
3501349,25+,16-25+,6-10,6-10,18
3501486,11-15,11-15,6-10,6-10,12
3503491,25+,16-25+,6-10,6-10,25
3504061,16-20,16-25+,6-10,6-10,34
3510689,25+,16-25+,51-100,51-100,32
3511551,1-5,1-5,6-10,6-10,26
3511615,25+,16-25+,201-500,201-500,31
3512916,1-5,1-5,6-10,6-10,21
3512926,25+,16-25+,51-100,51-100,30
3513395,11-15,11-15,11-25,11-25,37
3514184,25+,16-25+,26-50,26-50,30
3514423,25+,16-25+,101-200,101-200,33
3516456,25+,16-25+,101-200,101-200,32
3516747,16-20,16-25+,26-50,26-50,30
3516955,25+,16-25+,201-500,201-500,25
3517408,1-5,1-5,26-50,26-50,22
3517419,16-20,16-25+,101-200,101-200,36
3519143,25+,16-25+,1-5,1-5,23
3525009,25+,16-25+,26-50,26-50,31
3525464,25+,16-25+,6-10,6-10,24
3529126,11-15,11-15,51-100,51-100,21
3529236,1-5,1-5,1-5,1-5,21
3529406,25+,16-25+,1-5,1-5,34
3529480,16-20,16-25+,201-500,201-500,34
3529487,6-10,6-10,51-100,51-100,27
3529727,1-5,1-5,1-5,1-5,17
3529902,25+,16-25+,1-5,1-5,20
3529915,11-15,11-15,1-5,1-5,13
3530049,1-5,1-5,1-5,1-5,19
3531412,6-10,6-10,1-5,1-5,22
3531700,25+,16-25+,11-25,11-25,30
3534858,11-15,11-15,6-10,6-10,21
3536070,25+,16-25+,51-100,51-100,25
3541546,11-15,11-15,101-200,101-200,31
